top - 14:05:30 up  2:54,  2 users,  load average: 10,58, 9,92, 6,29
Tasks: 447 total,  16 running, 424 sleeping,   7 stopped,   0 zombie
%Cpu(s): 57,4 us, 41,8 sy,  0,3 ni,  0,3 id,  0,0 wa,  0,3 hi,  0,0 si,  0,0 st 
MiB Mem :  15337,5 total,    453,6 free,   9179,9 used,   6532,0 buff/cache     
MiB Swap:      0,0 total,      0,0 free,      0,0 used.   6157,6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    174 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/30-+
    175 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/31-+
    176 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/32-+
    177 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/33-+
    178 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/34-+
    179 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/35-+
    180 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/36-+
    181 root     -51   0       0      0      0 S   0,0   0,0  57:50.74 irq/37-+
    182 root     -51   0       0      0      0 S   0,0   0,0   0:00.01 irq/38-+
    183 root       0 -20       0      0      0 I   0,0   0,0   0:00.03 kworker+
    185 root       0 -20       0      0      0 I   0,0   0,0   0:00.03 kworker+
    187 root       0 -20       0      0      0 I   0,0   0,0   0:00.03 kworker+
    188 root       0 -20       0      0      0 I   0,0   0,0   0:00.02 kworker+
    225 root       0 -20       0      0      0 I   0,0   0,0   0:00.02 kworker+
    230 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    237 root       0 -20       0      0      0 I   0,0   0,0   0:00.02 kworker+
    256 root      20   0       0      0      0 I   0,0   0,0   0:00.02 kworker+
    261 root       0 -20       0      0      0 I   0,0   0,0   0:00.01 kworker+
    329 root       0 -20       0      0      0 I   0,0   0,0   0:00.01 kworker+
    331 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    333 root       0 -20       0      0      0 I   0,0   0,0   0:00.01 kworker+
    336 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    338 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    339 root       0 -20       0      0      0 I   0,0   0,0   0:00.01 kworker+
    364 root     -51   0       0      0      0 S   0,0   0,0   0:09.45 irq/47-+
    366 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    379 root      20   0       0      0      0 I   0,0   0,0   0:00.04 kworker+
    380 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    381 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    382 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    383 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    384 root      20   0       0      0      0 I   0,0   0,0   0:00.17 kworker+
    390 root      20   0       0      0      0 I   0,0   0,0   0:00.13 kworker+
    391 root      20   0       0      0      0 I   0,0   0,0   0:00.09 kworker+
    420 root      20   0       0      0      0 S   0,0   0,0   0:01.08 jbd2/nv+
    421 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    469 root      20   0   49224  19204  18008 S   0,0   0,1   0:01.70 systemd+
    500 root      20   0   14288   5788   5020 S   0,0   0,0   0:00.15 systemd+
    505 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 psimon
    515 root      20   0   31268  11920   9232 S   0,0   0,1   0:00.43 systemd+
    516 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 psimon
    585 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    632 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    639 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    648 systemd+  20   0   89056   7076   6308 S   0,0   0,0   0:00.08 systemd+
    653 dbus      20   0    9376   5088   2832 S   0,0   0,0   0:00.43 dbus-br+
    654 dbus      20   0   11528   6844   2172 S   0,0   0,0   0:03.98 dbus-br+
    656 avahi     20   0    6224   4016   3760 S   0,0   0,0   0:00.17 avahi-d+
    657 root      20   0    9804   5196   4812 S   0,0   0,0   0:00.12 bluetoo+
    659 root      20   0  141580  50116  20228 S   0,0   0,3   0:01.00 firewal+
    660 root      20   0   15228   7840   6704 S   0,0   0,0   0:01.55 systemd+
    663 avahi     20   0    6224   1524   1264 S   0,0   0,0   0:00.00 avahi-d+
    688 root      20   0  562396  26548  21456 S   0,0   0,2   0:29.82 Network+
    726 root      20   0   16320  11084   9676 S   0,0   0,1   0:07.88 wpa_sup+
    735 root      20   0    6408   4140   4012 S   0,0   0,0   0:00.00 Outline+
    739 root      20   0  153416  18424  16376 S   0,0   0,1   0:00.02 sddm
    779 polkitd   20   0  383276  11400   6908 S   0,0   0,1   0:05.87 polkitd
    789 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    790 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    791 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    792 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    793 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    795 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card1-c+
    796 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card1-c+
    797 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card1-c+
    798 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card1-c+
    799 root      20   0 1163620  61652  29780 S   0,0   0,4   0:00.37 Xorg
    863 root      20   0 2665128  75004  48148 S   0,0   0,5   0:00.99 dockerd
   1040 root      20   0       0      0      0 I   0,0   0,0   0:00.08 kworker+
   1069 root      20   0       0      0      0 I   0,0   0,0   0:00.06 kworker+
   1118 root      20   0  307712   8644   8004 S   0,0   0,1   0:00.44 power-p+
   1124 root      20   0   77140  19308  17132 S   0,0   0,1   0:00.10 sddm-he+
   1144 anton     20   0   19944  11420   9116 S   0,0   0,1   0:01.56 systemd
   1146 anton     20   0   20448   3616   1912 S   0,0   0,0   0:00.00 (sd-pam)
   1159 anton     20   0 1439488  70172  52428 S   0,0   0,4   0:00.29 kwallet+
   1160 anton     20   0  217568  35408  30928 S   0,0   0,2   0:00.11 startpl+
   1169 anton     20   0    6944   3384   3128 S   0,0   0,0   0:00.04 dbus-br+
   1170 anton     20   0    5712   2988   2092 S   0,0   0,0   0:01.07 dbus-br+
   1177 anton     20   0  147308  15432  14024 S   0,0   0,1   0:00.02 kwin_wa+
   1181 anton     39  19  256,2g 133224 105144 S   0,0   0,8   0:09.64 baloo_f+
   1190 anton     20   0  619836  15668  13236 S   0,0   0,1   0:01.40 xdg-des+
   1200 anton     20   0  530856   6364   5852 S   0,0   0,0   0:00.13 xdg-doc+
   1205 anton     20   0  306052   5700   5316 S   0,0   0,0   0:00.18 xdg-per+
   1212 root      20   0    2560   1788   1788 S   0,0   0,0   0:00.00 fusermo+
   1221 rtkit     21   1   20516   3016   2888 S   0,0   0,0   0:00.13 rtkit-d+
   1244 anton      9 -11  170936  15112   9848 S   0,0   0,1   0:00.25 pipewire
   1245 anton      9 -11  480436  18584  14616 S   0,0   0,1   0:00.64 wireplu+
   1277 root      10 -10       0      0      0 S   0,0   0,0   0:00.00 krfcommd
   1285 anton     20   0  940560  76664  40232 S   0,0   0,5   0:21.15 Xwayland
   1302 anton     20   0  379160   6412   5900 S   0,0   0,0   0:00.09 at-spi-+
   1313 anton     20   0    6812   3176   2920 S   0,0   0,0   0:00.00 dbus-br+
   1317 anton     20   0    4096   2240   2112 S   0,0   0,0   0:00.00 dbus-br+
   1325 anton     20   0 1159344  65032  48124 S   0,0   0,4   0:00.87 ksmserv+
   1327 anton     20   0 1846044 102128  75228 S   0,0   0,7   0:04.97 kded6
   1385 anton     20   0  229084   5460   5076 S   0,0   0,0   0:00.01 dconf-s+
   1402 anton     20   0 6274736 455180 171340 S   0,0   2,9   1:01.50 plasmas+
   1403 anton     20   0  232400   6348   5836 S   0,0   0,0   0:00.02 at-spi2+
   1414 anton      9 -11  184464  18852   8956 S   0,0   0,1   0:00.16 pipewir+
   1446 anton     20   0 1411652  58076  44912 S   0,0   0,4   0:01.16 kactivi+
   1449 anton     20   0 1079252  41060  29228 S   0,0   0,3   0:00.67 gmenudb+
   1450 anton     20   0 1159532  67172  50616 S   0,0   0,4   0:00.92 kaccess
   1451 anton     20   0 1433020  67280  52236 S   0,0   0,4   0:00.30 polkit-+
   1452 anton     20   0 1800516  71552  55672 S   0,0   0,5   0:02.96 org_kde+
   1454 anton     20   0 1832812  81060  57280 S   0,0   0,5   0:01.21 xdg-des+
   1455 anton     20   0 1078648  40144  28496 S   0,0   0,3   0:00.68 xembeds+
   1518 anton     20   0    7952   4480   4096 S   0,0   0,0   0:00.00 xsettin+
   1678 anton     20   0   36,8g 171468 111272 S   0,0   1,1   0:03.03 outline+
   1680 anton     20   0  661656  81984  50332 S   0,0   0,5   0:01.69 firewal+
   1682 anton     20   0 1632528  82980  64320 S   0,0   0,5   0:00.54 kdeconn+
   1687 anton     20   0 1774432  82412  56324 S   0,0   0,5   0:01.04 xwaylan+
   1695 anton     20   0   11588   1908   1600 S   0,0   0,0   0:02.44 Outline+
   1703 anton     20   0  309848   6376   5992 S   0,0   0,0   0:00.02 agent
   1862 anton     20   0 1916476 204684 176424 S   0,0   1,3   2:39.68 konsole
   1864 anton     20   0 1830620 168488 142176 S   0,0   1,1   0:34.52 konsole
   1867 anton     20   0 3096020   1,2g 429392 S   0,0   8,3   2:01.93 telegra+
   2033 anton     20   0   32,4g  56620  44716 S   0,0   0,4   0:00.13 outline+
   2039 anton     20   0   32,4g  56704  44672 S   0,0   0,4   0:00.13 outline+
   2109 anton     20   0   32,4g  14452   1928 S   0,0   0,1   0:00.00 outline+
   2172 anton     20   0    9096   7656   5736 S   0,0   0,0   0:00.04 bash
   2174 anton     20   0    9360   7816   5640 S   0,0   0,0   0:00.47 bash
   2321 anton     20   0   32,0g   2940   2684 S   0,0   0,0   0:00.00 chrome_+
   3170 anton     20   0   32,7g  96916  51996 S   0,0   0,6   0:00.90 outline+
   3234 anton     20   0   32,5g  77204  64024 S   0,0   0,5   0:00.70 outline+
   3266 anton     20   0   40,7g 164760 110548 S   0,0   1,0   0:01.90 outline+
   5984 root      20   0  155304   5308   5052 S   0,0   0,0   0:00.21 gpg-age+
   6727 root      20   0       0      0      0 I   0,0   0,0   0:00.45 kworker+
  15083 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 psimon
  17172 anton     20   0   32,7g 138048 125888 S   0,0   0,9   0:00.09 code
  17173 anton     20   0   32,7g 137632 125472 S   0,0   0,9   0:00.08 code
  17175 anton     20   0   32,7g  15700   3484 S   0,0   0,1   0:00.04 code
  17189 anton     20   0   32,0g   3132   2876 S   0,0   0,0   0:00.00 chrome_+
  17206 anton     20   0   33,0g 270668 176500 S   0,0   1,7   1:24.24 code
  17210 anton     20   0   32,5g 160364 146144 S   0,0   1,0   0:09.67 code
  17263 anton     20   0 1138,7g 489484 129496 S   0,0   3,1   5:15.12 code
  17301 anton     20   0 1132,1g 221052 158960 S   0,0   1,4   0:30.98 code
  18011 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  21176 root      20   0       0      0      0 I   0,0   0,0   0:00.11 kworker+
  24654 root      20   0       0      0      0 I   0,0   0,0   0:05.23 kworker+
  29328 anton     20   0  251436  36552  27848 S   0,0   0,2   0:00.06 Socket +
  29478 anton     20   0  509500  48952  38328 S   0,0   0,3   0:00.17 Utility+
  29527 anton     20   0 2772960 274508 122976 S   0,0   1,7   0:18.96 Isolate+
  33039 anton     20   0 1132,0g 184524 149332 S   0,0   1,2   0:01.29 code
  40382 anton     20   0 1132,0g 166020 145320 S   0,0   1,1   0:00.94 code
  42178 anton     20   0  257,4g 162208 145036 S   0,0   1,0   0:00.16 balooru+
  42587 root      20   0       0      0      0 I   0,0   0,0   0:00.11 kworker+
  43162 root      20   0       0      0      0 I   0,0   0,0   0:00.05 kworker+
  43321 anton     20   0  558164  52416  41324 S   0,0   0,3   0:00.20 RDD Pro+
  43643 anton     20   0 2919680 343728 124944 S   0,0   2,2   0:52.71 Isolate+
  46992 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  57310 root      20   0       0      0      0 I   0,0   0,0   0:00.03 kworker+
  60768 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  61511 root      20   0       0      0      0 I   0,0   0,0   0:00.09 kworker+
  63870 root      20   0       0      0      0 I   0,0   0,0   0:00.06 kworker+
  64971 root       0 -20       0      0      0 I   0,0   0,0   0:00.15 kworker+
  66033 root      20   0       0      0      0 I   0,0   0,0   0:00.02 kworker+
  66077 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  66099 root      20   0       0      0      0 I   0,0   0,0   0:00.02 kworker+
  66118 root       0 -20       0      0      0 I   0,0   0,0   0:00.11 kworker+
  66126 root      20   0       0      0      0 I   0,0   0,0   0:00.02 kworker+
  69388 root      20   0       0      0      0 I   0,0   0,0   0:02.50 kworker+
  69394 root      20   0       0      0      0 I   0,0   0,0   0:01.40 kworker+
  69425 root       0 -20       0      0      0 I   0,0   0,0   0:00.09 kworker+
  69444 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  69473 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  69495 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  70127 root       0 -20       0      0      0 I   0,0   0,0   0:00.06 kworker+
  70128 root       0 -20       0      0      0 I   0,0   0,0   0:00.14 kworker+
  70129 root       0 -20       0      0      0 I   0,0   0,0   0:00.16 kworker+
  70138 root       0 -20       0      0      0 I   0,0   0,0   0:00.10 kworker+
  70139 root       0 -20       0      0      0 I   0,0   0,0   0:00.10 kworker+
  70140 root       0 -20       0      0      0 I   0,0   0,0   0:00.11 kworker+
  70141 root       0 -20       0      0      0 I   0,0   0,0   0:00.11 kworker+
  70146 root       0 -20       0      0      0 I   0,0   0,0   0:00.14 kworker+
  70147 root       0 -20       0      0      0 I   0,0   0,0   0:00.11 kworker+
  72884 root       0 -20       0      0      0 I   0,0   0,0   0:00.11 kworker+
  72885 root       0 -20       0      0      0 I   0,0   0,0   0:00.08 kworker+
  72886 root       0 -20       0      0      0 I   0,0   0,0   0:00.09 kworker+
  73353 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  73497 anton     20   0 2466464  78612  65300 S   0,0   0,5   0:00.34 Web Con+
  73955 anton     20   0 2466480  78548  65492 S   0,0   0,5   0:00.37 Web Con+
  74008 anton     20   0 2466480  78716  65532 S   0,0   0,5   0:00.34 Web Con+
  74182 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  74183 root      20   0       0      0      0 I   0,0   0,0   0:00.02 kworker+
  75621 anton     20   0    7456   5260   5132 S   0,0   0,0   0:00.00 bash
  76485 root      20   0       0      0      0 I   0,0   0,0   0:00.97 kworker+
  77315 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  78639 root      20   0   14804   5476   4836 S   0,0   0,0   0:00.00 systemd+
  78640 root      20   0   14804   5664   4896 S   0,0   0,0   0:00.00 systemd+
  78641 root      20   0   14804   5628   4860 S   0,0   0,0   0:00.00 systemd+
  79114 root       0 -20       0      0      0 I   0,0   0,0   0:00.01 kworker+
  79115 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
  79574 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  80520 anton     20   0    7456   5360   5104 S   0,0   0,0   0:00.00 bash
  80522 anton     20   0    9652   7112   5064 R   0,0   0,0   0:00.05 top
  80524 anton     20   0    7456   4084   3780 S   0,0   0,0   0:00.00 bash
  80525 anton     20   0    7456   4084   3780 S   0,0   0,0   0:00.00 bash
  80527 anton     20   0    7588   4212   3908 S   0,0   0,0   0:00.00 bash
  80529 anton     20   0    7588   4212   3908 S   0,0   0,0   0:00.00 bash
  80531 anton     20   0    7588   4212   3908 S   0,0   0,0   0:00.00 bash
  80534 anton     20   0    7588   4212   3908 S   0,0   0,0   0:00.00 bash
  80538 anton     20   0    7588   4212   3908 S   0,0   0,0   0:00.00 bash
  80543 anton     20   0    7588   4184   3880 S   0,0   0,0   0:00.00 bash
  80544 anton     20   0    6016   3904   3904 S   0,0   0,0   0:00.00 tee
  80548 anton     20   0    7588   4212   3908 S   0,0   0,0   0:00.00 bash
  80551 anton     20   0    6016   3876   3876 S   0,0   0,0   0:00.00 tee
  80554 anton     20   0    7588   4180   3876 S   0,0   0,0   0:00.00 bash
  80558 anton     20   0    6016   3964   3964 S   0,0   0,0   0:00.00 tee
  80564 anton     20   0    6016   3872   3872 S   0,0   0,0   0:00.00 tee
  80569 anton     20   0    6016   3960   3960 S   0,0   0,0   0:00.00 tee
  80579 anton     20   0    6016   3832   3832 S   0,0   0,0   0:00.00 tee
  80582 anton     20   0    6016   3876   3876 S   0,0   0,0   0:00.00 tee
  80591 anton     20   0    6016   3924   3924 S   0,0   0,0   0:00.00 tee
  80612 anton     20   0    6016   3776   3776 S   0,0   0,0   0:00.00 tee
  80627 anton     20   0    6016   3780   3780 S   0,0   0,0   0:00.00 tee
